127.0.0.1 - - [24/Jul/2019:15:06:31 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [24/Jul/2019:15:06:34 +0530] "GET /HelloWebService/ HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [24/Jul/2019:15:07:10 +0530] "GET /HelloWebService/riprest/riphello HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [24/Jul/2019:15:07:50 +0530] "GET /HelloWebService/riprest/riphello HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [24/Jul/2019:15:07:52 +0530] "GET /HelloWebService/riprest/riphello HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [24/Jul/2019:15:07:56 +0530] "GET /HelloWebService/riprest/riphello HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [24/Jul/2019:15:08:39 +0530] "GET /HelloWebService/riprest/riphello HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [24/Jul/2019:15:09:20 +0530] "GET /HelloWebService/riprest/riphello HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [24/Jul/2019:15:09:22 +0530] "GET /HelloWebService/riprest/riphello HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [24/Jul/2019:15:09:40 +0530] "GET /HelloWebService/ HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [24/Jul/2019:15:09:55 +0530] "GET /HelloWebService/riprest/riphello HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [24/Jul/2019:15:09:57 +0530] "GET /HelloWebService/riprest/riphello HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [24/Jul/2019:15:09:57 +0530] "GET /HelloWebService/riprest/riphello HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [24/Jul/2019:15:09:57 +0530] "GET /HelloWebService/riprest/riphello HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [24/Jul/2019:15:09:57 +0530] "GET /HelloWebService/riprest/riphello HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [24/Jul/2019:15:09:57 +0530] "GET /HelloWebService/riprest/riphello HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [24/Jul/2019:15:11:46 +0530] "GET /HelloWebService/riprest/riphello HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [24/Jul/2019:15:11:47 +0530] "GET /HelloWebService/riprest/riphello HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [24/Jul/2019:15:13:37 +0530] "GET /HelloWebService/riprest/riphello HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [24/Jul/2019:15:13:37 +0530] "GET /HelloWebService/riprest/riphello HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [24/Jul/2019:15:13:37 +0530] "GET /HelloWebService/riprest/riphello HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [24/Jul/2019:15:13:39 +0530] "GET /HelloWebService/riprest/riphello HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [24/Jul/2019:15:13:57 +0530] "GET /HelloWebService/riprest/riphello HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [24/Jul/2019:15:13:58 +0530] "GET /HelloWebService/riprest/riphello HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [24/Jul/2019:15:16:59 +0530] "GET /HelloWebService/riprest/riphello HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [24/Jul/2019:15:17:00 +0530] "GET /HelloWebService/riprest/riphello HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [24/Jul/2019:15:17:00 +0530] "GET /HelloWebService/riprest/riphello HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [24/Jul/2019:15:17:00 +0530] "GET /HelloWebService/riprest/riphello HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [24/Jul/2019:15:17:01 +0530] "GET /HelloWebService/riprest/riphello HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [24/Jul/2019:15:17:02 +0530] "GET /HelloWebService/riprest/riphello HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [24/Jul/2019:15:17:02 +0530] "GET /HelloWebService/riprest/riphello HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [24/Jul/2019:15:17:02 +0530] "GET /HelloWebService/riprest/riphello HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [24/Jul/2019:15:17:02 +0530] "GET /HelloWebService/riprest/riphello HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [24/Jul/2019:15:17:02 +0530] "GET /HelloWebService/riprest/riphello HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [24/Jul/2019:15:17:02 +0530] "GET /HelloWebService/riprest/riphello HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [24/Jul/2019:15:17:15 +0530] "GET /HelloWebService/riprest/riphello HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [24/Jul/2019:15:17:16 +0530] "GET /HelloWebService/riprest/riphello HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [24/Jul/2019:15:17:17 +0530] "GET /HelloWebService/riprest/riphello HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [24/Jul/2019:15:17:17 +0530] "GET /HelloWebService/riprest/riphello HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [24/Jul/2019:15:17:17 +0530] "GET /HelloWebService/riprest/riphello HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [24/Jul/2019:15:17:17 +0530] "GET /HelloWebService/riprest/riphello HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [24/Jul/2019:15:17:17 +0530] "GET /HelloWebService/riprest/riphello HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [24/Jul/2019:15:17:17 +0530] "GET /HelloWebService/riprest/riphello HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [24/Jul/2019:15:17:18 +0530] "GET /HelloWebService/riprest/riphello HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [24/Jul/2019:15:17:18 +0530] "GET /HelloWebService/riprest/riphello HTTP/1.1" 404 1078
